Time	Position X	Position Y	Position Z	Rotation[0]	Rotation[1]	Rotation[2]	Rotation[3]	Rotation[4]	Rotation[5]	Rotation[6]	Rotation[7]	Rotation[8]
0.1	-0.02886831	-0.00798783	0.30886509	1	0	0	0	1	0	0	0	1
0.2	-0.02886667	-0.0079916	0.3088794	1	2.00E-05	2.00E-05	-2.00E-05	1	0.00014	-2.00E-05	-0.00014	1
0.3	-0.02887446	-0.0079892	0.30885392	1	2.00E-05	0.0001	-2.00E-05	1	2.00E-05	-0.0001	-2.00E-05	1
0.4	-0.02900103	-0.00791991	0.30887746	1	-0.00013	9.00E-05	0.00013	1	0.00013	-9.00E-05	-0.00013	1
0.5	-0.02901605	-0.00792988	0.30886521	1	-0.00011	0.00012	0.00011	1	8.00E-05	-0.00012	-8.00E-05	1
0.6	-0.02902211	-0.00792681	0.30885914	1	-0.00011	0.00012	0.00011	1	0.0002	-0.00012	-0.0002	1
0.7	-0.02886284	-0.00802518	0.30875011	1	-0.00014	0.00031	0.00014	1	0.0002	-0.00031	-0.0002	1
0.8	-0.02911371	-0.00776188	0.30876265	1	-0.0001	0.00019	0.0001	1	0.00032	-0.00019	-0.00032	1
0.9	-0.02911284	-0.00775498	0.30878396	1	2.00E-05	0.00024	-2.00E-05	1	0.00023	-0.00024	-0.00023	1
1	-0.02914009	-0.00772303	0.30878209	1	-7.00E-05	0.00036	7.00E-05	1	0.00023	-0.00036	-0.00023	1
1.1	-0.02921106	-0.00779331	0.30871802	1	-0.00023	-7.00E-05	0.00023	1	0.00034	7.00E-05	-0.00034	1
1.2	-0.02919412	-0.00778663	0.30874632	1	-0.0002	8.00E-05	0.0002	1	0.0002	-8.00E-05	-0.0002	1
1.3	-0.02922534	-0.00778918	0.30873788	1	-0.00014	1.00E-05	0.00014	1	0.0002	-1.00E-05	-0.0002	1
1.4	-0.02921347	-0.00781375	0.30873145	1	-0.00014	3.00E-05	0.00014	1	0.00023	-3.00E-05	-0.00023	1
1.5	-0.02920099	-0.00778803	0.30873353	1	-0.00022	2.00E-05	0.00022	1	0.00027	-2.00E-05	-0.00027	1
1.6	-0.02923778	-0.00778749	0.3087032	1	-2.00E-05	-8.00E-05	2.00E-05	1	0.00014	8.00E-05	-0.00014	1
1.7	-0.02922889	-0.00778969	0.308719	1	-0.00014	4.00E-05	0.00014	1	0.0002	-4.00E-05	-0.0002	1
1.8	-0.02923524	-0.00779683	0.30872828	1	-0.00026	6.00E-05	0.00026	1	0.00016	-6.00E-05	-0.00016	1
1.9	-0.02921844	-0.00778419	0.30873119	1	-0.00028	-5.00E-05	0.00028	1	0.00018	5.00E-05	-0.00018	1
2	-0.02922042	-0.00779921	0.30867233	1	-0.00024	-0.00024	0.00024	1	0.0003	0.00024	-0.0003	1
2.1	-0.02924527	-0.00779916	0.30871976	1	-0.00022	2.00E-05	0.00022	1	0.00032	-2.00E-05	-0.00032	1
2.2	-0.02924981	-0.00779806	0.30867728	1	-0.00017	7.00E-05	0.00017	1	0.00026	-7.00E-05	-0.00026	1
2.3	-0.02919192	-0.00780604	0.30867164	1	-0.00021	-3.00E-05	0.00021	1	0.00022	3.00E-05	-0.00022	1
2.4	-0.02923243	-0.00777297	0.30869889	1	-0.0002	4.00E-05	0.0002	1	0.00012	-4.00E-05	-0.00012	1
2.5	-0.0292445	-0.00778699	0.30869905	1	-0.00026	7.00E-05	0.00026	1	0.00014	-7.00E-05	-0.00014	1
2.6	-0.02924486	-0.00778668	0.30868389	1	-0.0002	6.00E-05	0.0002	1	0.0003	-6.00E-05	-0.0003	1
2.7	-0.0292061	-0.00778638	0.3086637	1	-0.00022	-2.00E-05	0.00022	1	0.00019	2.00E-05	-0.00019	1
2.8	-0.02921489	-0.00779516	0.3087063	1	-0.00019	4.00E-05	0.00019	1	0.00018	-4.00E-05	-0.00018	1
2.9	-0.02922386	-0.00781078	0.30870817	1	-0.00022	4.00E-05	0.00022	1	0.0001	-4.00E-05	-0.0001	1
3	-0.02918642	-0.00781339	0.30870689	1	-0.00022	-3.00E-05	0.00022	1	0.00022	3.00E-05	-0.00022	1
3.1	-0.02919472	-0.00781212	0.3087131	1	-0.00018	0	0.00018	1	7.00E-05	0	-7.00E-05	1
3.2	-0.02925097	-0.00779397	0.30870037	1	-0.00013	-1.00E-05	0.00013	1	3.00E-05	1.00E-05	-3.00E-05	1
3.3	-0.02923629	-0.00778259	0.30871069	1	-5.00E-05	-4.00E-05	5.00E-05	1	0.00015	4.00E-05	-0.00015	1
3.4	-0.02922831	-0.00781566	0.30875513	1	-0.00012	-0.0004	0.00012	1	0.00028	0.0004	-0.00028	1
3.5	-0.02932125	-0.00779296	0.30870164	1	5.00E-05	-0.00012	-5.00E-05	1	-4.00E-05	0.00012	4.00E-05	1
3.6	-0.02934114	-0.00784088	0.30872664	1	7.00E-05	0.00025	-7.00E-05	1	-0.00032	-0.00025	0.00032	1
3.7	-0.02935303	-0.0078679	0.30880631	1	0.00017	-0.00015	-0.00017	1	-0.00045	0.00015	0.00045	1
3.8	-0.02936	-0.00786045	0.30881566	1	0.00018	-0.0001	-0.00018	1	-0.00042	0.0001	0.00042	1
3.9	-0.02935182	-0.00792559	0.30880522	1	0.00032	-0.00016	-0.00032	1	-0.00043	0.00016	0.00043	1
4	-0.02939182	-0.00777311	0.30882991	1	0.00062	-0.00026	-0.00062	1	-0.00084	0.00026	0.00084	1
4.1	-0.02930409	-0.00796322	0.30882359	1	0.00048	-0.00028	-0.00048	1	-0.00012	0.00028	0.00012	1
4.2	-0.02933162	-0.00788371	0.30880469	1	0.00062	-0.00026	-0.00062	1	-0.00043	0.00026	0.00043	1
4.3	-0.02954881	-0.00810401	0.30892187	1	0.00105	-3.00E-05	-0.00105	1	0.00024	3.00E-05	-0.00024	1
4.4	-0.02999666	-0.00781654	0.30913119	1	0.00126	0.00062	-0.00126	1	-0.00078	-0.00062	0.00078	1
4.5	-0.03159044	-0.00725369	0.30979572	0.99997	0.0078	0.00088	-0.0078	0.99997	-0.00127	-0.00089	0.00126	1
4.6	-0.03494703	-0.0065714	0.31091303	0.99969	0.02496	0.00196	-0.02496	0.99969	0.00043	-0.00195	-0.00048	1
4.7	-0.04010336	-0.00801704	0.31455105	0.99956	0.02975	0.00187	-0.02979	0.99935	0.02023	-0.00127	-0.02027	0.99979
4.8	-0.04628495	-0.00873036	0.32364489	0.99974	0.02073	0.00929	-0.02097	0.99941	0.02704	-0.00873	-0.02723	0.99959
4.9	-0.04747656	-0.00730596	0.33839009	0.9997	0.02406	0.00398	-0.02411	0.99964	0.01206	-0.00369	-0.01216	0.99992
5	-0.04722976	-0.0061193	0.35893912	0.99943	0.03365	0.00332	-0.03364	0.99943	-0.00108	-0.00336	0.00096	0.99999
5.1	-0.04911267	-0.00642845	0.3842607	0.99916	0.03815	0.0152	-0.03821	0.99926	0.00371	-0.01505	-0.00429	0.99988
5.2	-0.05191972	-0.00583458	0.4141705	0.99897	0.04131	0.01862	-0.04136	0.99914	0.00222	-0.01851	-0.00298	0.99982
5.3	-0.0531654	-0.00359647	0.44723272	0.99886	0.04677	0.0091	-0.04674	0.9989	-0.00334	-0.00925	0.00291	0.99995
5.4	-0.05676802	-0.00337077	0.48112434	0.99893	0.04392	0.01458	-0.04403	0.99901	0.00706	-0.01425	-0.0077	0.99987
5.5	-0.0607574	-0.00297806	0.51651824	0.99951	0.02892	0.01207	-0.02915	0.99938	0.01963	-0.01149	-0.01997	0.99973
5.6	-0.0610187	0.00045587	0.55053844	0.99979	0.01801	-0.00933	-0.01795	0.99982	0.00614	0.00944	-0.00597	0.99994
5.7	-0.06120136	0.00344052	0.58136246	0.99966	-0.00501	-0.02552	0.00493	0.99998	-0.00356	0.02554	0.00344	0.99967
5.8	-0.06606626	0.00769951	0.61102666	0.9993	-0.02969	-0.02291	0.02929	0.99941	-0.018	0.02343	0.01731	0.99958
5.9	-0.07366306	0.01346668	0.64249208	0.99848	-0.05303	-0.01494	0.05245	0.99793	-0.03728	0.01689	0.03644	0.99919
6	-0.08026376	0.01793973	0.67598899	0.998	-0.06119	-0.01561	0.06041	0.99709	-0.04643	0.0184	0.04539	0.9988
6.1	-0.08591158	0.01855319	0.70958582	0.9989	-0.03953	-0.02519	0.03872	0.99874	-0.03176	0.02641	0.03075	0.99918
6.2	-0.09366734	0.01695675	0.74342045	0.99954	-0.01415	-0.02688	0.01411	0.9999	-0.00191	0.02691	0.00153	0.99964
6.3	-0.10123024	0.01616833	0.77877621	0.99948	-0.00442	-0.03205	0.00504	0.9998	0.01938	0.03196	-0.01953	0.9993
