Local Time	System Time	Position X	Position Y	Position Z	Distance 1	Distance 2	Distance 3	Distance 4	Distance 5	Distance 6	Distance 7	Distance 8
2823613	2792760	4.461999893	4.063000202	-0.2199999988	5.896999836	5.869999886	5.749000072	5.890999794	6.089000225	6.15899992	6.106999874	6.315999985
2823633	2792780	4.455999851	4.070000172	-0.2199999988	5.859000206	5.872000217	5.722000122	5.960999966	6.070000172	6.15199995	6.013000011	6.328000069
2823653	2792800	4.460000038	4.063000202	-0.2199999988	5.876999855	5.918000221	5.751999855	5.93200016	6.047999859	6.172999859	6.070000172	6.300000191
2823673	2792820	4.451000214	4.058000088	-0.2199999988	5.837999821	5.862999916	5.761000156	5.921999931	6.050000191	6.143000126	6.06400013	6.272999763
2823693	2792840	4.446000099	4.05700016	-0.2199999988	5.842999935	5.876999855	5.751999855	5.938000202	6.035999775	6.123000145	6.079999924	6.30700016
2823713	2792860	4.453000069	4.052999973	-0.2199999988	5.879000187	5.875	5.761000156	5.888000011	6.050000191	6.138999939	6.102000237	6.287000179
2823733	2792880	4.449999809	4.059000015	-0.2199999988	5.854000092	5.876999855	5.732999802	5.947000027	6.028999805	6.175000191	6.118000031	6.268000126
2823753	2792900	4.448999882	4.054999828	-0.2199999988	5.869999886	5.861000061	5.77699995	5.900000095	6.052000046	6.143000126	6.102000237	6.272999763
2823773	2792920	4.448999882	4.047999859	-0.2199999988	5.840000153	5.876999855	5.761000156	5.894999981	6.047999859	6.133999825	6.039000034	6.287000179
2823793	2792940	4.446000099	4.046000004	-0.2199999988	5.842999935	5.847000122	5.768000126	5.890999794	6.03399992	6.131999969	6.06400013	6.336999893
2823813	2792960	4.447999954	4.045000076	-0.2199999988	5.840000153	5.886000156	5.744999886	5.915999889	6.072999954	6.147999763	6.079999924	6.294000149
2823833	2792980	4.441999912	4.052999973	-0.2199999988	5.900000095	5.828999996	5.803999901	5.915999889	6.065999985	6.15199995	6.106999874	6.262000084
2823853	2793000	4.448999882	4.050000191	-0.2199999988	5.855999947	5.90899992	5.744999886	5.920000076	6.06099987	6.168000221	6.081999779	6.262000084
2823873	2793020	4.44299984	4.058000088	-0.2199999988	5.879000187	5.847000122	5.77699995	5.94299984	6.032000065	6.164000034	6.106999874	6.263999939
2823893	2793040	4.445000172	4.068999767	-0.2199999988	5.872000217	5.852000237	5.717000008	5.94299984	6.06400013	6.116000175	6.089000225	6.245999813
2823913	2793060	4.447000027	4.071000099	-0.2199999988	5.852000237	5.852000237	5.71999979	5.920000076	6.047999859	6.15899992	6.045000076	6.262000084
2823933	2793080	4.441999912	4.059000015	-0.2199999988	5.888000011	5.875	5.828999996	5.920000076	6.06099987	6.171000004	6.111000061	6.252999783
2823953	2793100	4.43200016	4.063000202	-0.2199999988	5.822000027	5.830999851	5.747000217	5.947000027	6.05700016	6.133999825	6.06099987	6.270999908
2823973	2793120	4.427999973	4.058000088	-0.2199999988	5.869999886	5.842999935	5.81099987	5.921999931	6.077000141	6.172999859	6.089000225	6.258999825
2823993	2793140	4.441999912	4.063000202	-0.2199999988	5.872000217	5.868000031	5.722000122	5.910999775	6.089000225	6.143000126	6.113999844	6.245999813
2824013	2793160	4.43599987	4.058000088	-0.2199999988	5.84499979	5.861000061	5.781000137	5.934000015	6.070000172	6.184000015	6.106999874	6.256999969
2824033	2793180	4.433000088	4.052000046	-0.2199999988	5.834000111	5.864999771	5.774000168	5.925000191	6.025000095	6.175000191	6.092999935	6.270999908
2824053	2793200	4.434000015	4.050000191	-0.2199999988	5.859000206	5.842999935	5.781000137	5.896999836	6.06099987	6.131999969	6.050000191	6.263999939
2824073	2793220	4.440000057	4.053999901	-0.2199999988	5.886000156	5.869999886	5.771999836	5.920000076	6.06099987	6.145999908	6.053999901	6.275000095
2824093	2793240	4.446000099	4.06400013	-0.2199999988	5.913000107	5.869999886	5.761000156	5.94299984	6.072999954	6.168000221	6.09499979	6.28000021
2824113	2793260	4.43900013	4.058000088	-0.2199999988	5.822000027	5.869999886	5.757999897	5.938000202	6.028999805	6.145999908	6.105000019	6.290999889
2824133	2793280	4.436999798	4.059999943	-0.2199999988	5.830999851	5.852000237	5.737999916	5.93200016	6.072999954	6.145999908	6.09100008	6.272999763
2824153	2793300	4.441999912	4.061999798	-0.2199999988	5.881000042	5.859000206	5.757999897	5.915999889	6.008999825	6.138999939	6.09800005	6.231999874
2824173	2793320	4.436999798	4.066999912	-0.2199999988	5.824999809	5.849999905	5.71999979	5.956999779	6.09499979	6.136000156	6.09100008	6.265999794
