
Local Time	System Time	Position X	Position Y	Position Z	Distance 1	Distance 2	Distance 3	Distance 4	Distance 5	Distance 6	Distance 7	Distance 8
1839212	10109986	4.571000099	4.039999962	-3.309999943	5.945000172	5.979000092	5.670000076	5.822000027	6.106999874	6.275000095	6.047999859	6.145999908
1839232	10110006	4.571000099	4.051000118	-3.309999943	5.998000145	5.96999979	5.688000202	5.852000237	6.085999966	6.297999859	6.02699995	6.164000034
1839252	10110026	4.581999779	4.046000004	-3.309999943	5.984000206	6.006999969	5.671999931	5.803999901	6.052000046	6.28399992	6.02699995	6.15199995
1839272	10110046	4.589000225	4.059000015	-3.309999943	5.956999779	5.962999821	5.578999996	5.815000057	6.06099987	6.262000084	6.004000187	6.157000065
1839292	10110066	4.585999966	4.046999931	-3.309999943	5.93200016	5.994999886	5.664999962	5.806000233	6.065999985	6.252999783	5.984000206	6.171000004
1839312	10110086	4.578999996	4.053999901	-3.309999943	5.96600008	5.952000141	5.664999962	5.834000111	6.113999844	6.236999989	6.06400013	6.165999889
1839332	10110106	4.580999851	4.047999859	-3.309999943	5.93599987	6.015999794	5.644999981	5.835999966	6.105000019	6.304999828	5.987999916	6.179999828
1839352	10110126	4.580999851	4.040999889	-3.309999943	5.96600008	6.02699995	5.695000172	5.840000153	6.077000141	6.275000095	6.065999985	6.15199995
1839372	10110146	4.587999821	4.051000118	-3.309999943	5.956999779	5.96999979	5.604000092	5.806000233	6.065999985	6.297999859	6	6.150000095
1839392	10110166	4.581999779	4.056000233	-3.309999943	5.981999874	5.962999821	5.673999786	5.837999821	6.092999935	6.272999763	6.039000034	6.145999908
1839412	10110186	4.568999767	4.048999786	-3.309999943	5.93200016	5.959000111	5.703999996	5.835999966	6.085999966	6.248000145	6.011000156	6.150000095
1839432	10110206	4.576000214	4.038000107	-3.309999943	5.956999779	6.019999981	5.688000202	5.809000015	6.102000237	6.30700016	5.993000031	6.120999813
1839452	10110226	4.577000141	4.048999786	-3.309999943	5.96999979	5.986000061	5.649000168	5.854000092	6.070000172	6.28000021	6.035999775	6.175000191
1839472	10110246	4.573999882	4.047999859	-3.309999943	5.93599987	5.940999985	5.657999992	5.795000076	6.106999874	6.230000019	5.994999886	6.15899992
1839492	10110266	4.571000099	4.048999786	-3.309999943	5.967999935	5.967999935	5.690000057	5.830999851	6.105000019	6.256999969	6.040999889	6.133999825
1839512	10110286	4.578999996	4.059999943	-3.309999943	5.974999905	6.004000187	5.619999886	5.868000031	6.052000046	6.252999783	6.015999794	6.133999825
1839532	10110306	4.577000141	4.059000015	-3.309999943	5.981999874	5.93599987	5.683000088	5.796999931	6.072999954	6.289000034	6.035999775	6.120999813
1839552	10110326	4.561999798	4.043000221	-3.309999943	5.977000237	5.952000141	5.793000221	5.813000202	6.09499979	6.290999889	5.998000145	6.130000114
1839572	10110346	4.568999767	4.039000034	-3.309999943	5.921999931	6.006999969	5.646999836	5.822000027	6.06400013	6.262000084	5.981999874	6.138999939
1839592	10110366	4.558000088	4.046000004	-3.309999943	5.96600008	5.934000015	5.715000153	5.849999905	6.052000046	6.258999825	6.02699995	6.140999794
1839612	10110386	4.581999779	4.054999828	-3.309999943	6.004000187	6.032000065	5.614999771	5.837999821	6.03399992	6.230000019	6.019999981	6.145999908
1839632	10110406	4.574999809	4.045000076	-3.309999943	5.934000015	5.998000145	5.690000057	5.830999851	6.06099987	6.28399992	6.035999775	6.136000156
1839652	10110426	4.566999912	4.037000179	-3.309999943	5.974999905	5.979000092	5.754000187	5.828999996	6.111000061	6.287000179	6.013000011	6.138999939
1839672	10110446	4.576000214	4.043000221	-3.309999943	5.94299984	5.977000237	5.619999886	5.803999901	6.050000191	6.294000149	6.03399992	6.177000046
1839692	10110466	4.56400013	4.043000221	-3.309999943	5.962999821	5.977000237	5.730999947	5.862999916	6.047999859	6.265999794	6.019999981	6.138999939
1839712	10110486	4.578999996	4.041999817	-3.309999943	5.981999874	6.006999969	5.660999775	5.798999786	6.039000034	6.238999844	5.993000031	6.133999825
1839732	10110506	4.577000141	4.03399992	-3.309999943	5.928999901	6.011000156	5.681000233	5.824999809	6.106999874	6.309000015	6.032000065	6.145999908
1839752	10110526	4.565000057	4.032000065	-3.309999943	5.915999889	5.953999996	5.698999882	5.824999809	6.070000172	6.289000034	6.008999825	6.145999908
1839772	10110546	4.568999767	4.038000107	-3.309999943	5.97300005	5.981999874	5.681000233	5.827000141	6.074999809	6.282000065	6.011000156	6.143000126
1839792	10110566	4.56799984	4.038000107	-3.309999943	5.960999966	5.986000061	5.702000141	5.834000111	6.043000221	6.297999859	5.998000145	6.18200016
1839812	10110586	4.576000214	4.039000034	-3.309999943	5.960999966	5.981999874	5.657999992	5.795000076	6.05700016	6.256999969	6.047999859	6.15899992
1839832	10110606	4.576000214	4.047999859	-3.309999943	5.96600008	5.959000111	5.657999992	5.827000141	6.043000221	6.255000114	6.032000065	6.138999939
1839852	10110626	4.577000141	4.05700016	-3.309999943	5.945000172	5.940999985	5.614999771	5.813000202	6.085999966	6.311999798	6.011000156	6.138999939
1839872	10110646	4.579999924	4.040999889	-3.309999943	5.93200016	6.025000095	5.673999786	5.815000057	6.065999985	6.28399992	6.028999805	6.190999985
1839892	10110666	4.565000057	4.043000221	-3.309999943	5.953999996	5.952000141	5.723999977	5.847000122	6.06099987	6.294000149	6.03399992	6.123000145
1839912	10110686	4.56799984	4.047999859	-3.309999943	5.913000107	5.962999821	5.614999771	5.824999809	6.081999779	6.256999969	6.025000095	6.140999794
1839932	10110706	4.565999985	4.051000118	-3.309999943	5.93599987	5.960999966	5.653999805	5.840000153	6.052000046	6.245999813	5.991000175	6.145999908
1839952	10110726	4.580999851	4.06099987	-3.309999943	5.960999966	5.962999821	5.580999851	5.802000046	6.077000141	6.256999969	6.040999889	6.133999825
1839972	10110746	4.572000027	4.06099987	-3.309999943	5.934000015	5.96600008	5.653999805	5.855999947	6.02699995	6.290999889	6.011000156	6.125
1839992	10110766	4.572999954	4.056000233	-3.309999943	5.979000092	5.96999979	5.695000172	5.815000057	6.089000225	6.252999783	6.028999805	6.150000095
1840012	10110786	4.573999882	4.059000015	-3.309999943	5.934000015	5.947000027	5.622000217	5.815000057	6.06799984	6.265999794	6.022999763	6.145999908
1840032	10110806	4.571000099	4.048999786	-3.309999943	5.934000015	5.994999886	5.678999901	5.834000111	6.089000225	6.265999794	6.008999825	6.125
1840052	10110826	4.583000183	4.050000191	-3.309999943	5.925000191	6.015999794	5.585000038	5.827000141	6.045000076	6.277999878	6.001999855	6.102000237
1840072	10110846	4.572000027	4.06400013	-3.309999943	5.987999916	5.934000015	5.681000233	5.868000031	6.053999901	6.294000149	6.018000126	6.123000145
1840092	10110866	4.579999924	4.046999931	-3.309999943	5.938000202	6.035999775	5.660999775	5.813000202	6.09499979	6.300000191	6.052000046	6.157000065
1840112	10110886	4.566999912	4.038000107	-3.309999943	5.913000107	5.96600008	5.705999851	5.824999809	6.09800005	6.282000065	6.001999855	6.15899992
1840132	10110906	4.568999767	4.052000046	-3.309999943	5.967999935	5.962999821	5.644999981	5.849999905	6.074999809	6.287000179	6.019999981	6.126999855
